RecordID_Int,ParcelNumber,StreetNumber,StreetName,Unit,StateCode,TaxType,Zone,TaxDist,Legal,Acreage,GPIN
12617,530162307,550,E WATER ST,500,1.0 Residential (Urban),Taxable,NX-10,,UNIT 500 550 WATER STREET CONDO,0,15096
12618,530162308,550,E WATER ST,600,1.0 Residential (Urban),Taxable,NX-10,,UNIT 600 550 WATER STREET CONDO,0,15096
12619,530162309,550,E WATER ST,400B,1.0 Residential (Urban),Taxable,NX-10,,UNIT 400B 550 WATER STREET CONDO,0,15096
12620,530164000,830,E MARKET ST,,7.3 Exempt Local,Exempt,CV,,LOT,0,7476
12621,530169000,801-805,E MARKET ST,,7.3 Exempt Local,Exempt,CV,,PT LOTS 4-7,0.4,7217
12622,530170000,0,9TH ST NE,,7.3 Exempt Local,Exempt,CV,,LOT 8A,0,7326
12623,530172000,209,9TH ST NE,,4.0 Commercial & Industrial,Taxable,NX-10,,LOT,0.04,7252
12624,530173100,808,E JEFFERSON ST,A1,3.0 Multi-Family,Taxable,DX,,UNIT A1 CARTER GILMER CONDO,0,6957
12625,530173101,806,E JEFFERSON ST,A10,3.0 Multi-Family,Taxable,DX,,UNIT A10 CARTER GILMER CONDO,0,6957
12626,530173110,804,E JEFFERSON ST,A11,1.0 Residential (Urban),Taxable,DX,,UNIT A11 CARTER GILMER CONDO,0,6957
12627,530173120,804,E JEFFERSON ST,A12,3.0 Multi-Family,Taxable,DX,,UNIT A12 CARTER GILMER CONDO,0,6957
12628,530173130,808,E JEFFERSON ST,A13,1.0 Residential (Urban),Taxable,DX,,UNIT A13 CARTER GILMER CONDO,0,6957
12629,530173140,808,E JEFFERSON ST,A14,3.0 Multi-Family,Taxable,DX,,UNIT A14 CARTER GILMER CONDO,0,6957
12630,530173150,806,E JEFFERSON ST,A15,3.0 Multi-Family,Taxable,DX,,UNIT A15 CARTER GILMER CONDO,0,6957
12631,530173160,806,E JEFFERSON ST,A16,1.0 Residential (Urban),Taxable,DX,,UNIT A16 CARTER GILMER CONDO,0,6957
12632,530173170,804,E JEFFERSON ST,A17,1.0 Residential (Urban),Taxable,DX,,UNIT A17 CARTER GILMER CONDO,0,6957
12633,530173180,804,E JEFFERSON ST,A18,1.0 Residential (Urban),Taxable,DX,,UNIT A18 CARTER GILMER CONDO,0,6957
12634,530173190,802,E JEFFERSON ST,B1,3.0 Multi-Family,Taxable,DX,,UNIT B1 CARTER GILMER CONDO,0,6957
12635,530173200,808,E JEFFERSON ST,A2,3.0 Multi-Family,Taxable,DX,,UNIT A2 CARTER GILMER CONDO,0,6957
12636,530173201,802,E JEFFERSON ST,B2,3.0 Multi-Family,Taxable,DX,,UNIT B2 CARTER GILMER CONDO,0,6957
12637,530173210,802,E JEFFERSON ST,B3,3.0 Multi-Family,Taxable,DX,,UNIT B3 CARTER GILMER CONDO,0,6957
12638,530173220,800,E JEFFERSON ST,C,4.0 Commercial & Industrial,Taxable,DX,,UNIT C CARTER GILMER CONDO,0,6927
12639,530173230,210,8TH ST NE,D,4.0 Commercial & Industrial,Taxable,DX,,UNIT D CARTER GILMER CONDO,0,6957
12640,530173300,806,E JEFFERSON ST,A3,3.0 Multi-Family,Taxable,DX,,UNIT A3 CARTER GILMER CONDO,0,6957
12641,530173400,806,E JEFFERSON ST,A4,3.0 Multi-Family,Taxable,DX,,UNIT A4 CARTER GILMER CONDO,0,6957
12642,530173500,804,E JEFFERSON ST,A5,3.0 Multi-Family,Taxable,DX,,UNIT A5 CARTER GILMER CONDO,0,6957
12643,530173600,804,E JEFFERSON ST,A6,1.0 Residential (Urban),Taxable,DX,,UNIT A6 CARTER GILMER CONDO,0,6957
12644,530173700,808,E JEFFERSON ST,A7,3.0 Multi-Family,Taxable,DX,,UNIT A7 CARTER GILMER CONDO,0,6957
12645,530173800,808,E JEFFERSON ST,A8,3.0 Multi-Family,Taxable,DX,,UNIT A8 CARTER GILMER CONDO,0,6957
12646,530173900,806,E JEFFERSON ST,A9,3.0 Multi-Family,Taxable,DX,,UNIT A9 CARTER GILMER CONDO,0,6957
12648,530180000,818-820,E JEFFERSON ST,,4.0 Commercial & Industrial,Taxable,NX-10,,"LOTS 3, 4 & LOTS",0.66,6988
12649,530183000,801,E JEFFERSON ST,,1.0 Residential (Urban),Taxable,NX-10,,LOT,0.06,6833
12650,530184000,800,E HIGH ST,,4.0 Commercial & Industrial,Taxable,NX-10,,LOT,0.11,6752
12651,530185000,806,E HIGH ST,,7.8 Ex Benelovent Charitable,Exempt,NX-10,,LOT,0.17,6772
12652,530186000,809,E JEFFERSON ST,,4.0 Commercial & Industrial,Taxable,NX-10,,PT LOT 3,0.07,6860
12653,530187000,813,E JEFFERSON ST,,4.0 Commercial & Industrial,Taxable,NX-10,,PT LOT 4,0.08,6894
