RecordID_Int,Basement,BasementGarage,Bedrooms,BasementType,ExternalWalls,FinishedBasement,Flooring,Fireplace,FullBathrooms,Grade,HalfBathrooms,Heating,NumberOfStories,ParcelNumber,Roof,SquareFootageFinishedLiving,StreetName,StreetNumber,Style,TotalRooms,Unit,UseCode,YearBuilt
9283,594,0,4,Partial Basement,Wood,594,Hardwood,1,2,C +,0,Forced Air,1.00,42B105000,Arch Shingles,1836,TARLETON DR,2102,Split-Level (Avg),8,,Single Family,1959
9284,1128,0,3,Full Basement,Wood,613,Hardwood,1,2,C +,1,Forced Air,1.00,42B106000,Shingles,1128,TARLETON DR,2104,1 Sty (Avg),7,,Single Family,1959
9285,780,0,3,Partial Basement,Board & Batten,780,W/W Carpet,1,2,C +,1,Forced Air,1.00,42B107000,Arch Shingles,1269,GREENBRIER DR,2013,1 Sty (Avg),7,,Single Family,1958
9286,338,0,4,Partial Basement,Brick Veneer,338,Hardwood,1,2,C +,0,Heat Pump,1.0,42B108000,Arch Shingles,1906,GREENBRIER DR,2011,Split-Level (Avg),10,,Single Family,1961
9287,1274,0,4,Partial Basement,Wood,625,Hardwood,1,2,B,1,Forced Air,1.00,42B109000,Shingles,2066,GREENBRIER DR,2009,1 Story,10,,Single Family,1959
9288,1281,0,3,Partial Basement,Brick Veneer,,W/W Carpet,1,2,B -,0,Forced Air,1.00,42B110000,Shingles,1401,GREENBRIER DR,2007,1 Sty w/ Bsmt,7,,Single Family,1958
9289,1452,0,4,Full Basement,Brick Veneer,889,Hardwood,1,3,B,0,Forced Air,1.00,42B111000,Shingles,1452,GREENBRIER DR,2005,1 Sty (Avg),8,,Single Family,1957
9290,,0,4,No Basement,Brick Veneer,,Hardwood,1,3,B,0,Forced Air,1.00,42B112000,Shingles,2688,GREENBRIER DR,2003,Split-Level (Avg),8,,Single Family,1959
9291,625,0,3,Partial Basement,Brick Veneer,,Hardwood,1,2,B +,1,Heat Pump,1.00,42B113000,Arch Shingles,2204,GREENBRIER DR,2001,Split-Level (Avg),8,,Single Family,1966
9292,650,0,4,Partial Basement,Vinyl,486,Tile,1,2,C,1,Heat Pump,1.00,42B114000,Arch Shingles,2270,GREENBRIER DR,1923,Split-Level,10,,Single Family,1963
9293,1750,2,3,Partial Basement,Brick Veneer,438,Hardwood,2,2,B,0,Forced Air,1.00,42B115000,Arch Shingles,2106,GREENBRIER DR,1921,1 Sty (Avg),7,,Single Family,1958
9294,1176,0,4,Full Basement,Brick Veneer,900,W/W Carpet,2,2,B -,0,Hot Water Radiator,1.00,42B116000,Arch Shingles,1176,GREENBRIER DR,1919,Split-Foyer (Avg),8,,Single Family,1967
9295,1176,0,4,Full Basement,Brick Veneer,900,Tile,2,2,C +,0,Hot Water Radiator,1.00,42B117000,Arch Shingles,1176,GREENBRIER DR,1917,Split-Foyer (Avg),8,,Single Family,1966
9296,1428,0,4,Full Basement,Brick Veneer,859,Hardwood,2,3,C,0,Forced Air,1.00,42B118000,Arch Shingles,1428,HILLWOOD PL,2516,1 Story,8,,Single Family,1968
9297,1539,1,4,Partial Basement,Wood,700,Hardwood,2,3,C +,0,Hot Water Radiator,1.00,42B119000,Shingles,1539,HILLWOOD PL,2519,Split-Level,8,,Single Family,1965
9298,1482,2,4,Partial Basement,Brick Veneer,702,Hardwood,1,3,C,0,Heat Pump,1.00,42B120000,Arch Shingles,1824,HILLWOOD PL,2517,Split-Level,9,,Single Family,1965
9299,645,1,4,Partial Basement,Wood,,Hardwood,1,2,B,1,Forced Air,1.00,42B121000,Shingles,2140,HILLWOOD PL,2514,Split-Level (Avg),8,,Single Family,1966
9300,1176,0,4,Full Basement,Brick Veneer,946,Hardwood,2,2,C,0,Hot Water Radiator,1.00,42C001000,Arch Shingles,1176,KERRY LN,2400,Split-Foyer,8,,Single Family,1966
9301,1202,0,4,Partial Basement,Wood,902,Hardwood,2,2,B,0,Hot Water Radiator,1.00,42C002000,Shingles,1386,KERRY LN,2402,Split-Foyer,7,,Single Family,1966
9302,1176,0,4,Full Basement,Brick Veneer,940,W/W Carpet,2,2,C,0,Hot Water Radiator,1.00,42C003000,Shingles,1176,KERRY LN,2404,Split-Foyer (Avg),10,,Single Family,1965
9303,900,0,4,Partial Basement,Brick Veneer,455,Hardwood,2,2,A -,1,Forced Air,2.00,42C004000,Arch Shingles,1964,KERRY LN,2406,2 Sty Superior,9,,Single Family,1964
9304,1425,1,3,Full Basement,Wood,1000,Hardwood,1,2,C +,1,Hot Water Radiator,1.00,42C005000,Shingles,1479,KERRY LN,2408,Split-Level,7,,Single Family,1964
9305,700,0,3,Partial Basement,Brick Veneer,621,Hardwood,1,2,C++,1,Hot Water Radiator,1.00,42C006000,Shingles,1372,KERRY LN,2412,1 Sty w/ Bsmt,8,,Single Family,1964
9306,1176,0,4,Full Basement,Brick Veneer,500,Hardwood,2,2,C +,2,Forced Air,2.00,42C007000,Shingles,2352,HILLWOOD PL,2500,2 Story,7,,Single Family,1964
9307,900,0,4,Partial Basement,Brick Veneer,545,Hardwood,2,2,B -,1,Forced Air,2.00,42C008000,Shingles,1944,HILLWOOD PL,2502,2 Story,11,,Single Family,1966
9308,784,1,4,Partial Basement,Brick Veneer,,Hardwood,1,3,B -,0,Forced Air,1.00,42C009000,Shingles,2350,HILLWOOD PL,2504,Split-Level,8,,Single Family,1965
9309,1269,0,4,Full Basement,Brick Veneer,1269,Hardwood,2,2,C +,0,Hot Water Radiator,1.00,42C010000,Arch Shingles,1269,HILLWOOD PL,2506,Split-Foyer (Avg),9,,Single Family,1967
9310,675,0,4,Partial Basement,Single Siding,318,Hardwood,1,3,B,0,Forced Air,1.00,42C011000,Shingles,1763,HILLWOOD PL,2508,Split-Level Superior,9,,Single Family,1965
9311,920,0,4,Partial Basement,Brick Veneer,412,Hardwood,1,2,B -,0,Forced Air,1.50,42C012000,Shingles,2060,HILLWOOD PL,2510,1.5 Story,9,,Single Family,1965
9312,1388,0,3,Partial Basement,Wood,688,Hardwood,2,2,C,0,Hot Water Radiator,1.00,42C013000,Shingles,1454,HILLWOOD PL,2512,Split-Level,8,,Single Family,1965
9313,1308,0,5,Partial Basement,Vinyl,723,Hardwood,2,3,B,2,Forced Air,2.00,42C014000,Shingles,2484,HILLWOOD PL,2515,2 Story,10,,Single Family,1966
9314,812,0,3,Partial Basement,Wood,,Hardwood,1,2,B -,1,Hot Water Radiator,1.00,42C015000,Shingles,2628,HILLWOOD PL,2513,Split-Level,9,,Single Family,1964
9315,,0,4,No Basement,Brick Veneer,,Hardwood,1,2,B +,1,Heat Pump,1.00,42C016000,Arch Shingles,2193,HILLWOOD PL,2511,Split-Level,8,,Single Family,1965
9316,1456,2,4,Full Basement,Cedar,1408,W/W Carpet,1,3,C++,1,Hot Water Radiator,1.00,42C017000,Arch Shingles,1628,HILLWOOD PL,2509,Split-Foyer,11,,Single Family,1965
9317,812,1,4,Partial Basement,Brick Veneer,,Hardwood,1,3,C,0,Hot Water Radiator,2.00,42C018000,Arch Shingles,2436,HILLWOOD PL,2507,Split-Level,9,,Single Family,1964
9318,1152,0,4,Partial Basement,Brick Veneer,591,Hardwood,2,2,C +,2,Forced Air,2.00,42C019000,Arch Shingles,2785,HILLWOOD PL,2505,2 Story,10,,Single Family,1964
9319,2190,0,5,Full Basement,Brick Veneer,2128,Hardwood,3,2,B -,0,Heat Pump,1.00,42C020000,Arch Shingles,2190,HILLWOOD PL,2503,1 Sty (Avg),8,,Single Family,1965
9320,1682,0,4,Partial Basement,Wood,1218,Hardwood,1,2,C +,1,Forced Air,1.00,42C021000,Shingles,1711,HILLWOOD PL,2501,Split-Level,8,,Single Family,1966
9321,598,0,3,Partial Basement,Brick Veneer,,Hardwood,1,2,C,0,Hot Water Radiator,1.00,42C022000,Shingles,1948,KERRY LN,2415,Split-Level,9,,Single Family,1964
9322,1484,2,4,Partial Basement,Brick Veneer,700,W/W Carpet,1,3,B -,0,Hot Water Radiator,1.00,42C023000,Arch Shingles,2044,KERRY LN,2413,4-Level Split,9,,Single Family,1963
9323,1204,0,4,Partial Basement,Brick Veneer,595,Other,2,2,C +,0,Hot Water Radiator,1.00,42C024000,Arch Shingles,1564,KERRY LN,2411,Split-Foyer,8,,Single Family,1964
9324,783,1,4,Partial Basement,Brick Veneer,168,Hardwood,2,3,B,0,Hot Water Radiator,2.00,42C025000,Shingles,2639,KERRY LN,2409,Split-Level (Avg),9,,Single Family,1964
9325,888,0,4,Partial Basement,Wood,593,W/W Carpet,2,2,C +,1,Heat Pump,2.00,42C026000,Arch Shingles,2306,KERRY LN,2407,2 Story,8,,Single Family,1964
9326,1400,2,4,Partial Basement,Cedar,728,Hardwood,1,3,C++,0,Hot Water Radiator,1.00,42C027000,Arch Shingles,1456,KERRY LN,2405,Split-Level,8,,Single Family,1965
9327,1176,0,4,Full Basement,Brick Veneer,946,Hardwood,2,2,C,0,Hot Water Radiator,2.00,42C028000,Shingles,1176,KERRY LN,2403,Split-Foyer,8,,Single Family,1965
9328,1914,0,3,Partial Basement,Brick Veneer,986,Hardwood,1,3,C +,0,Hot Water Radiator,1.00,42C029000,Shingles,1978,BROOK RD,2408,Split-Level,8,,Single Family,1963
9329,1568,0,5,Full Basement,Brick Veneer,964,Hardwood,2,3,B,0,Hot Water Radiator,1.00,42C030000,Arch Shingles,1568,BROOK RD,2410,Split-Foyer,9,,Single Family,1963
9330,676,0,4,Partial Basement,Brick/Masonry,,Hardwood,1,2,C +,0,Forced Air,1.00,42C031000,Shingles,2134,BROOK RD,2412,Split-Level,8,,Single Family,1963
9331,625,0,4,Partial Basement,Brick Veneer,,Hardwood,2,3,B -,0,Hot Water Radiator,1.00,42C032000,Shingles,2245,HILLWOOD PL,2414,Split-Level,8,,Single Family,1963
9332,1176,0,4,Full Basement,Brick Veneer,1176,W/W Carpet,2,2,C,0,Hot Water Radiator,1.00,42C033000,Arch Shingles,1176,BROOK RD,2413,Split-Foyer,9,,Single Family,1965
9333,1204,0,4,Full Basement,Brick Veneer,1018,Hardwood,2,2,C +,0,Forced Air,1.00,42C034000,Shingles,1204,BROOK RD,2415,Split-Foyer,7,,Single Family,1963
9334,676,0,3,Partial Basement,Brick/Masonry,467,Hardwood,1,2,C++,1,Heat Pump,1.0,42C035000,Arch Shingles,1274,HILLWOOD PL,2410,Split-Level Superior,7,,Single Family,1963
9335,625,2,3,Partial Basement,Wood,,Hardwood,1,3,C +,0,Hot Water Radiator,2.00,42C036000,Shingles,2029,HILLWOOD PL,2407,Split-Level Superior,7,,Single Family,1964
9336,697,0,4,Partial Basement,Brick Veneer,697,Hardwood,1,2,C,0,Heat Pump,1.00,42C037000,Arch Shingles,2047,HILLWOOD PL,2409,Split-Level,11,,Single Family,1964
9337,1225,0,3,Full Basement,Brick Veneer,914,Hardwood,2,2,C,0,Forced Air,1.00,42C038000,Shingles,1225,HILLWOOD PL,2411,1 Sty (Avg),7,,Single Family,1964
9338,676,0,4,Partial Basement,Wood,,Hardwood,1,2,C +,0,Hot Water Radiator,1.00,42C039000,Shingles,1820,HILLWOOD PL,2413,Split-Level,8,,Single Family,1963
9339,702,0,5,Partial Basement,Wood,702,W/W Carpet,1,3,C++,0,Heat Pump,1.00,42C040000,Arch Shingles,2220,HILLWOOD PL,2415,Split-Level,9,,Single Family,1963
9340,1075,0,4,Full Basement,Brick Veneer,1075,Hardwood,2,2,C -,0,Forced Air,1.00,42C041000,Arch Shingles,1075,HILLWOOD PL,2417,Split-Foyer (Avg),10,,Single Family,1963
9341,1375,2,4,Full Basement,Brick Veneer,933,Hardwood,2,3,B +,0,Heat Pump,1.00,42C042000,Arch Shingles,1449,HILLWOOD PL,2419,Split-Level Exc,8,,Single Family,1964
9342,1242,0,4,Full Basement,Brick Veneer,1242,W/W Carpet,2,2,C,0,Forced Air,1.00,42C043000,Shingles,1242,HILLWOOD PL,2421,Split-Foyer (Avg),9,,Single Family,1963
9343,1176,0,4,Full Basement,Brick Veneer,946,Hardwood,2,2,C,0,Hot Water Radiator,2.00,42C044000,Arch Shingles,1176,KERRY LN,2505,Split-Foyer (Avg),8,,Single Family,1966
9344,1378,0,4,Partial Basement,Wood,637,Hardwood,1,3,C++,0,Hot Water Radiator,1.00,42C045000,Shingles,1872,KERRY LN,2507,Split-Level,9,,Single Family,1967
9345,900,0,4,Full Basement,Wood,400,Hardwood,2,2,B +,1,Forced Air,2.00,42C046000,Arch Shingles,1872,KERRY LN,2509,2 Story,9,,Single Family,1967
9346,1269,0,4,Full Basement,Brick Veneer,1269,Hardwood,2,2,B,0,Forced Air,1.00,42C047000,Arch Shingles,1301,KERRY LN,2511,Split-Foyer,7,,Single Family,1967
9347,812,0,4,Partial Basement,Wood,,Hardwood,1,2,C,1,Forced Air,1.00,42C048000,Arch Shingles,2552,KERRY LN,101,Split-Level,7,,Single Family,1967
9348,915,0,4,Partial Basement,Aluminum,500,Hardwood,2,2,C +,1,Forced Air,2.00,42C049000,Shingles,1830,KERRY LN,103,2 Story,8,,Single Family,1967
9349,1512,0,4,Partial Basement,Wood,756,Hardwood,1,3,B,0,Forced Air,1.00,42C050000,Arch Shingles,1568,KERRY LN,105,Split-Level,8,,Single Family,1967
9350,1809,2,3,Full Basement,Brick Veneer,603,Hardwood,1,2,B -,1,Forced Air,1.00,42C051000,Arch Shingles,1819,KERRY LN,107,1 Sty (Avg),9,,Single Family,1966
